code_spygen;code_explo;rep;date;station;site_name;province;country;project;sample_type;sample_method;time_start;time_end;duration_min;volume;depth_sampling;depth_seafloor;temperature;turbidity;habitat;habitat_type;gps_start;latitude_start;longitude_start;gps_end;latitude_end;longitude_end;filter;data_manager;gps_owner;comment
SPY190389;SM00101;1;06/04/2019;SM00101;Noumea;Tropical_Southwestern_Pacific;NewCaledonia;SEAMOUNTS;point;niskin;08:14;NA;NA;32;138;143;NA;NA;marine;Sommet;NA;-22.1632167;166.0911167;NA;NA;NA;0.2;Laetitia Mathon;NA;NA
SPY190521;SM00102;1;06/04/2019;SM00102;Noumea;Tropical_Southwestern_Pacific;NewCaledonia;SEAMOUNTS;point;niskin;09:03;NA;NA;32;213;219;NA;NA;marine;Sommet;NA;-22.1493167;166.0713333;NA;NA;NA;0.2;Laetitia Mathon;NA;NA
SPY190476;SM00103;1;06/04/2019;SM00103;Noumea;Tropical_Southwestern_Pacific;NewCaledonia;SEAMOUNTS;point;niskin;14:15;NA;NA;32;75;80;NA;NA;marine;Sommet;NA;-22.0399;165.95378;NA;NA;NA;0.2;Laetitia Mathon;NA;NA
SPY190473;SM00104;1;06/04/2019;SM00104;Noumea;Tropical_Southwestern_Pacific;NewCaledonia;SEAMOUNTS;point;niskin;15:00;NA;NA;32;210;214;NA;NA;marine;Sommet;NA;-22.13581;166.04781;NA;NA;NA;0.2;Laetitia Mathon;NA;NA
SPY190529;SM00105;1;06/04/2019;SM00105;Noumea;Tropical_Southwestern_Pacific;NewCaledonia;SEAMOUNTS;point;niskin;15:46;NA;NA;32;192;197;NA;NA;marine;Sommet;NA;-22.13098;166.03284;NA;NA;NA;0.2;Laetitia Mathon;NA;NA
SPY190474;SM00106;1;06/04/2019;SM00106;Noumea;Tropical_Southwestern_Pacific;NewCaledonia;SEAMOUNTS;point;niskin;16:35;NA;NA;32;170;175;NA;NA;marine;Sommet;NA;-22.12209;166.0147;NA;NA;NA;0.2;Laetitia Mathon;NA;NA
SPY190400;SM00107;1;06/04/2019;SM00107;Noumea;Tropical_Southwestern_Pacific;NewCaledonia;SEAMOUNTS;point;niskin;10:06;NA;NA;32;205;210;NA;NA;marine;Sommet;NA;-22.1;165.98333;NA;NA;NA;0.2;Laetitia Mathon;NA;NA
SPY190466;SM00108;1;06/04/2019;SM00108;Noumea;Tropical_Southwestern_Pacific;NewCaledonia;SEAMOUNTS;point;niskin;17:26;NA;NA;32;143;149;NA;NA;marine;Sommet;NA;-22.08215;165.976;NA;NA;NA;0.2;Laetitia Mathon;NA;NA
SPY190388;SM00109;1;06/04/2019;SM00109;Noumea;Tropical_Southwestern_Pacific;NewCaledonia;SEAMOUNTS;point;niskin;11:05;NA;NA;32;117;122;NA;NA;marine;Sommet;NA;-22.0685;165.97032;NA;NA;NA;0.2;Laetitia Mathon;NA;NA
SPY190414;SM00110;1;06/04/2019;SM00110;Noumea;Tropical_Southwestern_Pacific;NewCaledonia;SEAMOUNTS;point;niskin;11:46;NA;NA;32;205;210;NA;NA;marine;Sommet;NA;-22.03333;165.95;NA;NA;NA;0.2;Laetitia Mathon;NA;NA
