"Station","Site","Latitude","Longitude","Habitat","EastwardVelocity","NorthwardVelocity","Salinity","SuspendedParticulateMatter","SSTmax","SSTmean","SSTmin","SSTsd","seafloorTemp","Chla","TravelTime","ReefMinDist.m","LandMinDist.m","SummitDepth","ValleyDepth","Height","SummitAreasKm2","SummitRugosity","Topo","Complex","Reef.structure","Rocks","Rubbles","Gravel","Sand","Mud","Indeterm","Coral","Filter_feeders","Vegetation","Bare","Turbidity","HabitatDiversity","Depth"
"SM00101","Noumea",-22.16422,166.09164,"DeepSlope",-0.0284654460847378,0.0886297896504402,35.5479469299316,2.4288387298584,29.093994140625,24.4051818847656,20.9440002441406,1.78425812721252,25.1662826538086,0.322351217269897,4358.30032549816,350.523566203057,6443.57954674548,0,2828,2828,"682.8879667","8.431506244",25,0,0,0,0,0,100,0,0,0,0,0,100,"Clear",0.964962923007428,180
"SM00102","Noumea",-22.14784,166.0721,"DeepSlope",-0.0284654460847378,0.0886297896504402,35.5479469299316,2.73795628547668,29.0390014648438,24.3994445800781,20.875,1.7731271982193,25.1662826538086,0.298941016197205,4766.37930381458,527.479314497047,5524.94247728025,0,2828,2828,"682.8879667","8.431506244",0,25,0,10,20,10,60,0,0,20,15,0,65,"Clear",1.84290267901855,130
"SM00103","Noumea",-22.14645,166.06421,"DeepSlope",-0.0284654460847378,0.0886297896504402,35.5479469299316,2.73795628547668,29.0140075683594,24.4015808105469,20.8469848632812,1.76481747627258,25.1662826538086,0.298941016197205,4899.07966810219,369.195341906926,5405.97666471538,0,2828,2828,"682.8879667","8.431506244",0,25,10,10,20,10,50,0,0,15,20,15,50,"Clear",2.11911130918412,130
"SM00104","Noumea",-22.13466,166.05145,"DeepSlope",-0.0284654460847378,0.0886297896504402,35.5479469299316,2.73795628547668,29.0050048828125,24.4031066894531,20.7789916992188,1.78181004524231,25.1662826538086,0.298941016197205,5168.50647528087,479.370698071956,4681.04764239756,0,2828,2828,"682.8879667","8.431506244",0,25,0,10,25,25,40,0,0,0,10,15,75,"Clear",1.8629673869986,135
"SM00105","Noumea",-22.13184,166.03476,"DeepSlope",0.0105982460081577,0.00181597738992423,35.5448837280273,0.895667731761932,28.9360046386719,24.4109497070312,20.7269897460938,1.76658034324646,5.81318664550781,0.206661969423294,5426.97020860131,719.037256865985,5140.69973441423,0,2828,2828,"682.8879667","8.431506244",0,25,0,15,20,5,60,0,0,0,20,20,60,"Clear",1.85963319295864,128
"SM00108","Noumea",-22.08289,165.97737,"DeepSlope",-0.113871872425079,0.0494803413748741,35.5556640625,2.45835709571838,29.1380004882812,24.4438171386719,20.6990051269531,1.78062438964844,26.0341262817383,0.320922046899796,6727.62304732218,768.375402085346,5416.77721953433,0,2828,2828,"682.8879667","8.431506244",0,0,5,0,0,25,70,0,0,5,5,10,80,"Clear",1.42033680177042,130
"SM00109","Noumea",-22.06929,165.97165,"DeepSlope",-0.113871872425079,0.0494803413748741,35.5556640625,2.45835709571838,29.2160034179688,24.4557495117188,20.7219848632812,1.78120982646942,26.0341262817383,0.320922046899796,6631.0348241978,413.123338214923,4471.3528180065,0,2828,2828,"682.8879667","8.431506244",25,0,5,0,0,15,80,0,0,5,15,15,65,"Clear",1.68131890392543,120
"SM00201","PoyaNepoui",-21.45818,165.04335,"DeepSlope",-0.169844329357147,0.0366877876222134,35.5599136352539,5.30225801467896,29.18701171875,24.7633056640625,21.4739990234375,1.81960201263428,25.5250759124756,0.790578424930573,12344.9491889331,483.5780017268,7233.03711222856,0,3088,3088,"393.0866614","8.314530038",25,0,0,0,0,0,100,0,0,0,5,0,95,"Clear",1.05319192005004,120
"SM00202","PoyaNepoui",-21.4544,165.04311,"DeepSlope",-0.169844329357147,0.0366877876222134,35.5599136352539,5.30225801467896,29.2560119628906,24.7672729492188,21.4809875488281,1.82739460468292,25.5250759124756,0.790578424930573,12281.174421078,538.328981925781,6813.97637398643,0,3088,3088,"393.0866614","8.314530038",25,25,10,0,0,10,80,0,0,10,10,40,40,"Clear",1.92658218959746,105
"SM00203","PoyaNepoui",-21.44124,165.03554,"DeepSlope",-0.142433166503906,0.0400725677609444,35.5544281005859,4.43550109863281,29.3009948730469,24.7667846679688,21.4719848632812,1.8394695520401,23.9584445953369,0.429080605506897,12258.3112719289,661.015728995081,5369.65365393786,0,3088,3088,"393.0866614","8.314530038",50,0,0,0,0,0,100,0,0,0,0,20,80,"Clear",1.25508113740142,130
