Site;Habitat;Substrate;Station;Date;Time;Depth;Sampling_depth;Latitude;Longitude;Motu;Project;best_identity_database;Assignement_Level;Scientific_Name;mean_pcr_count_reads;SR
IleDesPins;Summit500;Seamount;SM00409;07/06/2019;15:12;481;475;-22.386925;167.4018333;Motu155;Seamount;0.857142857143;family;Myctophidae;12407.5555555556;1
IleDesPins;Summit500;Seamount;SM00409;07/06/2019;15:12;481;475;-22.386925;167.4018333;Motu049;Seamount;0.983870967742;genus;Diaphus;1.75;1
IleDesPins;Summit500;Seamount;SM00409;07/06/2019;15:12;481;475;-22.386925;167.4018333;Motu058;Seamount;0.903225806452;genus;Diaphus;5329.08333333333;1
IleDesPins;Summit500;Seamount;SM00409;07/06/2019;15:12;481;475;-22.386925;167.4018333;Motu313;Seamount;0.920634920635;genus;Diaphus;3.25;1
IleDesPins;Summit500;Seamount;SM00409;07/06/2019;15:12;481;475;-22.386925;167.4018333;Motu445;Seamount;0.888888888889;family;Myctophidae;5836.08333333333;1
IleDesPins;Summit500;Seamount;SM00409;07/06/2019;15:12;481;475;-22.386925;167.4018333;Motu059;Seamount;0.870967741935;family;Myctophidae;2.66666666666667;1
IleDesPins;Summit500;Seamount;SM00407;07/06/2019;16:50;469;465;-22.38546667;167.4148167;Motu238;Seamount;0.870967741935;family;Myctophidae;821.291666666667;1
IleDesPins;Summit500;Seamount;SM00407;07/06/2019;16:50;469;465;-22.38546667;167.4148167;Motu127;Seamount;1;species;Eumegistus illustris;11012.7083333333;1
IleDesPins;Summit500;Seamount;SM00407;07/06/2019;16:50;469;465;-22.38546667;167.4148167;Motu556;Seamount;0.863636363636;family;Trichiuridae;12731.1666666667;1
IleDesPins;Summit500;Seamount;SM00407;07/06/2019;16:50;469;465;-22.38546667;167.4148167;Motu053;Seamount;0.952380952381;genus;Diaphus;2274.04166666667;1
IleDesPins;Summit500;Seamount;SM00407;07/06/2019;16:50;469;465;-22.38546667;167.4148167;Motu512;Seamount;0.967213114754;genus;Coloconger;2196.16666666667;1
IleDesPins;Summit500;Seamount;SM00407;07/06/2019;16:50;469;465;-22.38546667;167.4148167;Motu222;Seamount;1;species;Auxis rochei;98.3333333333333;1
