"sample","site","habitat","n_sequence","n_family","n_genus","n_species"
"SM00409","Mont_Ile_Des_Pins","Sommet",3,1,2,1
"SM00407","Mont_Ile_Des_Pins","Sommet",9,6,7,3
"SM00401","Mont_Ile_Des_Pins","Sommet",12,6,5,4
"SM00402","Mont_Ile_Des_Pins","Sommet",6,2,3,2
"SM00411_150","Mont_Ile_Des_Pins","Pelagique",7,5,6,4
"SM00306","Antigonia","Sommet",10,7,7,3
"SM00311_500","Antigonia","Pelagique",5,3,5,2
"SM00702","Kaimon_Maru","Sommet",11,7,6,2
"SM00710","Kaimon_Maru","Sommet",8,5,6,2
"SM00109","Noumea","Sommet",73,26,34,21
"SM00101","Noumea","Sommet",47,18,22,13
"SM00111-500","Noumea","Pelagique",2,2,2,2
"SM00611_80","Stylaster","Pelagique",2,2,2,2
"SM00303","Antigonia","Sommet",6,6,6,5
"SM00111-80","Noumea","Pelagique",8,4,7,3
"SM00611_1000","Stylaster","Pelagique",5,4,3,3
"SM00204","Poya_Nepoui","Sommet",6,3,3,1
"SM00107","Noumea","Sommet",4,3,3,2
"SM00208","Poya_Nepoui","Sommet",4,3,4,1
"SM00701","Kaimon_Maru","Sommet",11,8,6,2
"SM00711_150","Kaimon_Maru","Pelagique",1,1,1,1
"SM00610","Stylaster","Sommet",25,10,13,8
"SM00305","Antigonia","Sommet",6,3,4,3
"SM00202","Poya_Nepoui","Sommet",11,6,4,3
"SM00110","Noumea","Sommet",2,2,1,1
"SM00301","Antigonia","Sommet",23,13,16,9
"SM00603","Stylaster","Sommet",5,2,1,1
"SM00506","Jumeau_West","Sommet",4,3,3,2
"SM00707","Kaimon_Maru","Sommet",7,5,3,2
"SM00311_20","Antigonia","Pelagique",17,6,11,4
"SM00609","Stylaster","Sommet",5,3,4,2
"SM00705","Kaimon_Maru","Sommet",1,1,1,1
"SM00611_150","Stylaster","Pelagique",6,5,6,5
"SM00611_20","Stylaster","Pelagique",5,2,4,1
"SM00709","Kaimon_Maru","Sommet",7,4,5,3
"SM00211-500","Poya_Nepoui","Pelagique",31,10,11,5
"SM00311_1000","Antigonia","Pelagique",4,3,4,3
"SM00211-80","Poya_Nepoui","Pelagique",4,2,3,1
"SM00108","Noumea","Sommet",4,4,2,2
