Site;Substrate;Habitat;Station;Latitude;Longitude;Order;Family;Genus;Species;SR;MaxN;LengthType;Length;lwa;lwb;commentLWab;Biomassg;Size_max;Size_max_type;Diets;TrophicG;Size_Class_PNAS;Home_Range;Activity;Schooling;Level_water;Depth
Noumea;Slope;DeepSlope;SM00101;-22.16422;166.09164;Perciformes;Lutjanidae;Aphareus;Aphareus_rutilans;1;1;FL;56.5933863558078;0.017515;2.908;Fishbase;2190.04351041503;110;TL;FC;Piscivore;S6;VMob;Both;SmallG;Low;180
Noumea;Slope;DeepSlope;SM00101;-22.16422;166.09164;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus_albimarginatus;1;2;FL;132.671044236365;0.00954363636363636;3.26528909090909;Fishbase_mean_Genus;163012.788139432;300;TL;FC;Piscivore;S6;VMob;Night;Sol;High;180
Noumea;Slope;DeepSlope;SM00101;-22.16422;166.09164;Lutjaniformes;Lutjanidae;Pristipomoides;Pristipomoides_flavipinnis;1;5;FL;37.3399666666667;0.0269;2.87633333333333;Fishbase;4475.26290165454;50;SL;FC;Carnivore;S4;VMob;Both;SmallG;Low;180
Noumea;Slope;DeepSlope;SM00102;-22.14784;166.0721;Perciformes;Lutjanidae;Aphareus;Aphareus_rutilans;1;2;FL;59.38188;0.017515;2.908;Fishbase;5037.62462955789;110;TL;FC;Piscivore;S6;VMob;Both;SmallG;Low;130
Noumea;Slope;DeepSlope;SM00102;-22.14784;166.0721;Carcharhiniformes;Carcharhinidae;Carcharhinus;Carcharhinus_albimarginatus;1;1;FL;134.1318;0.00954363636363636;3.26528909090909;Fishbase_mean_Genus;84473.4255432491;300;TL;FC;Piscivore;S6;VMob;Night;Sol;High;130
Noumea;Slope;DeepSlope;SM00102;-22.14784;166.0721;Lutjaniformes;Lutjanidae;Pristipomoides;Pristipomoides_filamentosus;1;9;FL;42.3639875;0.033775;2.82325;Fishbase;11919.4624793185;100;TL;FC;Carnivore;S6;VMob;Both;SmallG;Low;130
Noumea;Slope;DeepSlope;SM00102;-22.14784;166.0721;Lutjaniformes;Lutjanidae;Pristipomoides;Pristipomoides_flavipinnis;1;8;FL;31.646;0.0269;2.87633333333333;Fishbase;4448.96829037175;50;SL;FC;Carnivore;S4;VMob;Both;SmallG;Low;130
Noumea;Slope;DeepSlope;SM00102;-22.14784;166.0721;Perciformes;Carangidae;Seriola;Seriola_rivoliana;1;2;FL;57.3131;0.021992;2.9532;Base_Traits_De_Vie;6851.25510612595;160;FL;FC;Piscivore;S6;VMob;Both;SmallG;High;130
Noumea;Slope;DeepSlope;SM00102;-22.14784;166.0721;Perciformes;Sphyraenidae;Sphyraena;Sphyraena_barracuda;1;1;FL;77.9297544257657;0.009945;3.06724375;Fishbase;6308.41033840191;200;TL;FC;Piscivore;S6;VMob;Night;SmallG;High;130
Noumea;Slope;DeepSlope;SM00103;-22.14645;166.06421;Perciformes;Gobiidae;Amblyeleotris;Amblyeleotris_fontanesii;1;1;FL;25;0.0159645454545455;2.95476818181818;Fishbase_mean_Family;215.647891138278;25;SL;IM;Carnivore;S3;Sed;Day;Sol;Bottom;130
