"Species","Min abundance","Max abundance","Mean abundance"
"Aphareus_rutilans",0,12,0.65
"Carcharhinus_albimarginatus",0,6,0.616666666666667
"Pristipomoides_flavipinnis",0,8,0.616666666666667
"Pristipomoides_filamentosus",0,26,2.11666666666667
"Seriola_rivoliana",0,25,1.81666666666667
"Carcharhinus_plumbeus",0,4,0.308333333333333
"Gymnosarda_unicolor",0,2,0.125
"Lethrinus_miniatus",0,24,1.375
"Lethrinus_rubrioperculatus",0,13,0.366666666666667
"Gymnocranius_euanus",0,13,1.20833333333333
"Bodianus_bimaculatus",0,3,0.116666666666667
"Epinephelus_chlorostigma",0,8,0.408333333333333
"Wattsia_mossambica",0,10,0.341666666666667
"Aprion_virescens",0,5,0.383333333333333
"Carangoides_orthogrammus",0,50,0.608333333333333
"Pseudocaranx_dentex",0,41,1.29166666666667
"Seriola_lalandi",0,10,0.325
"Squalus_megalops",0,10,0.866666666666667
"Epinephelus_morrhua",0,2,0.158333333333333
"Etelis_coruscans",0,12,0.425
"Pristipomoides_argyrogrammicus",0,4,0.325
"Polymixia_japonica",0,5,0.225
"Pentaceros_richardsoni",0,3,0.075
