"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"27","Model_richness_tot_tc_5_lr_0.001_bf_0.75",5,0.001,2175,1.06,1.798,0.401,0.694,0.037,0.75
"21","Model_richness_tot_tc_4_lr_0.001_bf_0.5",4,0.001,2950,1.115,1.802,0.418,0.689,0.041,0.5
"26","Model_richness_tot_tc_5_lr_0.001_bf_0.5",5,0.001,2950,1.115,1.802,0.418,0.689,0.041,0.5
"22","Model_richness_tot_tc_4_lr_0.001_bf_0.75",4,0.001,2425,1.061,1.807,0.396,0.691,0.038,0.75
"16","Model_richness_tot_tc_3_lr_0.001_bf_0.5",3,0.001,3075,1.141,1.807,0.414,0.688,0.041,0.5
"4","Model_richness_tot_tc_1_lr_0.005_bf_0.75",1,0.005,1200,1.274,1.829,0.415,0.683,0.044,0.75
"3","Model_richness_tot_tc_1_lr_0.005_bf_0.5",1,0.005,2050,1.105,1.83,0.393,0.674,0.045,0.5
"17","Model_richness_tot_tc_3_lr_0.001_bf_0.75",3,0.001,2800,1.088,1.835,0.386,0.685,0.039,0.75
"7","Model_richness_tot_tc_1_lr_0.001_bf_0.75",1,0.001,4900,1.342,1.843,0.431,0.683,0.046,0.75
"11","Model_richness_tot_tc_2_lr_0.001_bf_0.5",2,0.001,3175,1.254,1.847,0.415,0.684,0.042,0.5
"12","Model_richness_tot_tc_2_lr_0.001_bf_0.75",2,0.001,3300,1.179,1.862,0.392,0.68,0.04,0.75
"6","Model_richness_tot_tc_1_lr_0.001_bf_0.5",1,0.001,4825,1.394,1.877,0.44,0.676,0.048,0.5
