"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"22","Model_Log_biomass_tc_3_lr_0.005_bf_0.75",3,0.005,1675,0.289,0.746,0.089,0.827,0.022,0.75
"30","Model_Log_biomass_tc_4_lr_0.005_bf_0.75",4,0.005,1300,0.286,0.748,0.089,0.826,0.02,0.75
"14","Model_Log_biomass_tc_2_lr_0.005_bf_0.75",2,0.005,2250,0.318,0.753,0.09,0.824,0.023,0.75
"33","Model_Log_biomass_tc_4_lr_0.001_bf_0.75",4,0.001,4875,0.334,0.759,0.097,0.823,0.022,0.75
"27","Model_Log_biomass_tc_4_lr_0.01_bf_0.5",4,0.01,1100,0.273,0.76,0.086,0.82,0.021,0.5
"35","Model_Log_biomass_tc_5_lr_0.01_bf_0.5",5,0.01,1100,0.273,0.76,0.086,0.82,0.021,0.5
"40","Model_Log_biomass_tc_5_lr_0.001_bf_0.75",5,0.001,4775,0.31,0.76,0.096,0.823,0.021,0.75
"19","Model_Log_biomass_tc_3_lr_0.01_bf_0.5",3,0.01,1100,0.297,0.762,0.086,0.819,0.021,0.5
"25","Model_Log_biomass_tc_3_lr_0.001_bf_0.75",3,0.001,4775,0.381,0.763,0.101,0.822,0.023,0.75
"11","Model_Log_biomass_tc_2_lr_0.01_bf_0.5",2,0.01,1250,0.339,0.764,0.093,0.819,0.022,0.5
"29","Model_Log_biomass_tc_4_lr_0.005_bf_0.5",4,0.005,1950,0.293,0.765,0.092,0.819,0.021,0.5
"37","Model_Log_biomass_tc_5_lr_0.005_bf_0.5",5,0.005,1950,0.293,0.765,0.092,0.819,0.021,0.5
"21","Model_Log_biomass_tc_3_lr_0.005_bf_0.5",3,0.005,1900,0.317,0.768,0.092,0.818,0.021,0.5
"17","Model_Log_biomass_tc_2_lr_0.001_bf_0.75",2,0.001,5100,0.44,0.783,0.109,0.818,0.025,0.75
"32","Model_Log_biomass_tc_4_lr_0.001_bf_0.5",4,0.001,5300,0.401,0.784,0.111,0.816,0.023,0.5
"39","Model_Log_biomass_tc_5_lr_0.001_bf_0.5",5,0.001,5300,0.4,0.784,0.111,0.816,0.023,0.5
"24","Model_Log_biomass_tc_3_lr_0.001_bf_0.5",3,0.001,5250,0.424,0.787,0.112,0.816,0.023,0.5
"13","Model_Log_biomass_tc_2_lr_0.005_bf_0.5",2,0.005,1525,0.418,0.792,0.11,0.814,0.025,0.5
"16","Model_Log_biomass_tc_2_lr_0.001_bf_0.5",2,0.001,5725,0.468,0.794,0.117,0.815,0.025,0.5
"2","Model_Log_biomass_tc_1_lr_0.01_bf_0.5",1,0.01,1275,0.488,0.8,0.118,0.814,0.027,0.5
"3","Model_Log_biomass_tc_1_lr_0.01_bf_0.75",1,0.01,1875,0.413,0.803,0.106,0.811,0.027,0.75
"6","Model_Log_biomass_tc_1_lr_0.005_bf_0.75",1,0.005,3675,0.416,0.804,0.106,0.811,0.027,0.75
"5","Model_Log_biomass_tc_1_lr_0.005_bf_0.5",1,0.005,2250,0.501,0.814,0.125,0.811,0.028,0.5
"9","Model_Log_biomass_tc_1_lr_0.001_bf_0.75",1,0.001,7850,0.55,0.84,0.127,0.807,0.03,0.75
"8","Model_Log_biomass_tc_1_lr_0.001_bf_0.5",1,0.001,6650,0.589,0.842,0.136,0.809,0.029,0.5
