"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"32","Model_biomass_tot_tc_4_lr_0.005_bf_0.5",4,0.005,700,6503686936.127,10980237896.148,4878888564.358,0.628,0.081,0.5
"41","Model_biomass_tot_tc_5_lr_0.005_bf_0.5",5,0.005,700,6503434732.366,10980237896.148,4878888564.358,0.628,0.081,0.5
"23","Model_biomass_tot_tc_3_lr_0.005_bf_0.5",3,0.005,700,6585788214.575,10984469435.322,4873789975.082,0.627,0.081,0.5
"14","Model_biomass_tot_tc_2_lr_0.005_bf_0.5",2,0.005,700,7156201693.986,11072173032.171,4874712289.287,0.618,0.079,0.5
"5","Model_biomass_tot_tc_1_lr_0.005_bf_0.5",1,0.005,700,8535088712.48,11078313016.45,4641643665.687,0.6,0.073,0.5
"6","Model_biomass_tot_tc_1_lr_0.005_bf_0.75",1,0.005,700,8465158969.669,11204389280.419,4726682672.364,0.595,0.074,0.75
"24","Model_biomass_tot_tc_3_lr_0.005_bf_0.75",3,0.005,700,5820812092.057,11253086431.755,4895715309.27,0.612,0.083,0.75
"33","Model_biomass_tot_tc_4_lr_0.005_bf_0.75",4,0.005,700,5406733638.622,11264729532.002,4851264729.508,0.615,0.085,0.75
"42","Model_biomass_tot_tc_5_lr_0.005_bf_0.75",5,0.005,700,5226286088.241,11311566326.787,4861243372.211,0.616,0.085,0.75
"15","Model_biomass_tot_tc_2_lr_0.005_bf_0.75",2,0.005,700,6616503944.875,11318015677.937,4900070732.466,0.605,0.078,0.75
"2","Model_biomass_tot_tc_1_lr_0.01_bf_0.5",1,0.01,700,7584158751.083,11334706103.986,4693290574.206,0.593,0.076,0.5
"12","Model_biomass_tot_tc_2_lr_0.01_bf_0.75",2,0.01,700,5256881040.39,11463690897.244,4719711479.246,0.61,0.078,0.75
"3","Model_biomass_tot_tc_1_lr_0.01_bf_0.75",1,0.01,700,7429528286.622,11488266069.485,4756686868.305,0.585,0.073,0.75
"11","Model_biomass_tot_tc_2_lr_0.01_bf_0.5",2,0.01,700,6068023637.724,11625745040.666,5005259274.656,0.611,0.082,0.5
"21","Model_biomass_tot_tc_3_lr_0.01_bf_0.75",3,0.01,700,4383773144.43,11659399283.716,4752260674.793,0.611,0.084,0.75
"35","Model_biomass_tot_tc_4_lr_0.001_bf_0.5",4,0.001,700,9867773164.952,11738191340.058,5246848191.215,0.636,0.079,0.5
"44","Model_biomass_tot_tc_5_lr_0.001_bf_0.5",5,0.001,700,9867515267.616,11738191340.058,5246848191.215,0.636,0.079,0.5
"26","Model_biomass_tot_tc_3_lr_0.001_bf_0.5",3,0.001,700,9930732003.951,11754113704.441,5255643702.446,0.634,0.079,0.5
"20","Model_biomass_tot_tc_3_lr_0.01_bf_0.5",3,0.01,700,5408556342.817,11780812060.592,5039734153.543,0.611,0.084,0.5
"29","Model_biomass_tot_tc_4_lr_0.01_bf_0.5",4,0.01,700,5282302208.614,11806241606.35,5058119763.76,0.611,0.085,0.5
"38","Model_biomass_tot_tc_5_lr_0.01_bf_0.5",5,0.01,700,5285905345.42,11806241606.35,5058119763.76,0.611,0.085,0.5
"45","Model_biomass_tot_tc_5_lr_0.001_bf_0.75",5,0.001,700,9196531937.493,11837685055.096,5300712606.876,0.612,0.085,0.75
"30","Model_biomass_tot_tc_4_lr_0.01_bf_0.75",4,0.01,700,3899195976.171,11865815441.294,4783482916.483,0.607,0.087,0.75
"36","Model_biomass_tot_tc_4_lr_0.001_bf_0.75",4,0.001,700,9341353941.546,11911375337.035,5329236113.019,0.604,0.086,0.75
"17","Model_biomass_tot_tc_2_lr_0.001_bf_0.5",2,0.001,700,10277404442.655,11924134059.166,5257831165.881,0.625,0.072,0.5
"39","Model_biomass_tot_tc_5_lr_0.01_bf_0.75",5,0.01,700,3657584654.225,11946974627.9,4805003254.322,0.607,0.088,0.75
"27","Model_biomass_tot_tc_3_lr_0.001_bf_0.75",3,0.001,700,9635609787.872,12088147814.504,5407413969.609,0.597,0.083,0.75
"18","Model_biomass_tot_tc_2_lr_0.001_bf_0.75",2,0.001,700,10118707742.723,12215600861.127,5390265759.764,0.604,0.075,0.75
"8","Model_biomass_tot_tc_1_lr_0.001_bf_0.5",1,0.001,700,11263200952.951,12331159261.898,5125449528.273,0.602,0.067,0.5
"9","Model_biomass_tot_tc_1_lr_0.001_bf_0.75",1,0.001,700,11276441402.605,12386913436.734,5186860168.687,0.597,0.068,0.75
