"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"40","Model_Log_biomass_tc_5_lr_0.005_bf_0.75",5,0.005,1600,0.242,0.678,0.079,0.848,0.016,0.75
"37","Model_Log_biomass_tc_5_lr_0.01_bf_0.75",5,0.01,800,0.244,0.679,0.08,0.848,0.016,0.75
"31","Model_Log_biomass_tc_4_lr_0.005_bf_0.75",4,0.005,1675,0.264,0.681,0.08,0.848,0.016,0.75
"23","Model_Log_biomass_tc_3_lr_0.005_bf_0.75",3,0.005,1700,0.304,0.684,0.08,0.847,0.016,0.75
"20","Model_Log_biomass_tc_3_lr_0.01_bf_0.75",3,0.01,900,0.296,0.688,0.079,0.846,0.016,0.75
"28","Model_Log_biomass_tc_4_lr_0.01_bf_0.5",4,0.01,1250,0.269,0.689,0.076,0.84,0.017,0.5
"36","Model_Log_biomass_tc_5_lr_0.01_bf_0.5",5,0.01,1250,0.268,0.689,0.076,0.84,0.017,0.5
"19","Model_Log_biomass_tc_3_lr_0.01_bf_0.5",3,0.01,1250,0.291,0.692,0.076,0.839,0.017,0.5
"14","Model_Log_biomass_tc_2_lr_0.005_bf_0.75",2,0.005,2125,0.34,0.693,0.081,0.844,0.017,0.75
"34","Model_Log_biomass_tc_4_lr_0.001_bf_0.75",4,0.001,5800,0.317,0.693,0.088,0.845,0.016,0.75
"43","Model_Log_biomass_tc_5_lr_0.001_bf_0.75",5,0.001,5525,0.298,0.693,0.089,0.845,0.016,0.75
"11","Model_Log_biomass_tc_2_lr_0.01_bf_0.5",2,0.01,1225,0.355,0.702,0.078,0.836,0.018,0.5
"26","Model_Log_biomass_tc_3_lr_0.001_bf_0.75",3,0.001,5900,0.355,0.702,0.088,0.843,0.017,0.75
"30","Model_Log_biomass_tc_4_lr_0.005_bf_0.5",4,0.005,2425,0.27,0.703,0.081,0.837,0.018,0.5
"39","Model_Log_biomass_tc_5_lr_0.005_bf_0.5",5,0.005,2425,0.269,0.703,0.081,0.837,0.018,0.5
"22","Model_Log_biomass_tc_3_lr_0.005_bf_0.5",3,0.005,2475,0.29,0.703,0.082,0.837,0.017,0.5
"3","Model_Log_biomass_tc_1_lr_0.01_bf_0.75",1,0.01,3125,0.354,0.71,0.086,0.84,0.02,0.75
"13","Model_Log_biomass_tc_2_lr_0.005_bf_0.5",2,0.005,2450,0.351,0.711,0.085,0.835,0.018,0.5
"25","Model_Log_biomass_tc_3_lr_0.001_bf_0.5",3,0.001,7500,0.371,0.721,0.091,0.833,0.018,0.5
"17","Model_Log_biomass_tc_2_lr_0.001_bf_0.75",2,0.001,6025,0.421,0.721,0.092,0.837,0.019,0.75
"5","Model_Log_biomass_tc_1_lr_0.005_bf_0.5",1,0.005,4500,0.41,0.725,0.091,0.832,0.021,0.5
"33","Model_Log_biomass_tc_4_lr_0.001_bf_0.5",4,0.001,6875,0.361,0.728,0.094,0.832,0.018,0.5
"42","Model_Log_biomass_tc_5_lr_0.001_bf_0.5",5,0.001,6875,0.361,0.728,0.094,0.832,0.018,0.5
"6","Model_Log_biomass_tc_1_lr_0.005_bf_0.75",1,0.005,3700,0.428,0.73,0.092,0.834,0.022,0.75
"2","Model_Log_biomass_tc_1_lr_0.01_bf_0.5",1,0.01,1975,0.429,0.73,0.093,0.831,0.021,0.5
"16","Model_Log_biomass_tc_2_lr_0.001_bf_0.5",2,0.001,6800,0.448,0.742,0.097,0.829,0.019,0.5
"9","Model_Log_biomass_tc_1_lr_0.001_bf_0.75",1,0.001,10000,0.523,0.767,0.104,0.828,0.022,0.75
"8","Model_Log_biomass_tc_1_lr_0.001_bf_0.5",1,0.001,10000,0.535,0.777,0.107,0.824,0.022,0.5
