"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"35","Model_abundance_tot_tc_4_lr_0.001_bf_0.5",4,0.001,700,5879.421,6277.299,4293.317,0.289,0.09,0.5
"44","Model_abundance_tot_tc_5_lr_0.001_bf_0.5",5,0.001,700,5879.424,6277.299,4293.317,0.289,0.09,0.5
"26","Model_abundance_tot_tc_3_lr_0.001_bf_0.5",3,0.001,700,5882.022,6278.353,4293.999,0.288,0.089,0.5
"17","Model_abundance_tot_tc_2_lr_0.001_bf_0.5",2,0.001,700,5898.102,6293.885,4299.648,0.27,0.088,0.5
"8","Model_abundance_tot_tc_1_lr_0.001_bf_0.5",1,0.001,700,5964.328,6332.154,4325.437,0.201,0.089,0.5
"45","Model_abundance_tot_tc_5_lr_0.001_bf_0.75",5,0.001,700,5667.94,6363.282,4319.391,0.253,0.088,0.75
"36","Model_abundance_tot_tc_4_lr_0.001_bf_0.75",4,0.001,700,5672.463,6369.011,4320.451,0.247,0.087,0.75
"27","Model_abundance_tot_tc_3_lr_0.001_bf_0.75",3,0.001,700,5684.295,6379.356,4325.763,0.239,0.086,0.75
"32","Model_abundance_tot_tc_4_lr_0.005_bf_0.5",4,0.005,700,4917.116,6381.167,4234.483,0.222,0.088,0.5
"41","Model_abundance_tot_tc_5_lr_0.005_bf_0.5",5,0.005,700,4921.127,6381.167,4234.483,0.222,0.088,0.5
"23","Model_abundance_tot_tc_3_lr_0.005_bf_0.5",3,0.005,700,4926.796,6386.322,4235.056,0.216,0.088,0.5
"14","Model_abundance_tot_tc_2_lr_0.005_bf_0.5",2,0.005,700,4981.341,6414.902,4232.382,0.184,0.087,0.5
"18","Model_abundance_tot_tc_2_lr_0.001_bf_0.75",2,0.001,700,5707.635,6418.373,4342.116,0.209,0.09,0.75
"9","Model_abundance_tot_tc_1_lr_0.001_bf_0.75",1,0.001,700,5959.288,6476.372,4386.728,0.099,0.09,0.75
"29","Model_abundance_tot_tc_4_lr_0.01_bf_0.5",4,0.01,700,4027.237,6481.955,4226.397,0.197,0.086,0.5
"38","Model_abundance_tot_tc_5_lr_0.01_bf_0.5",5,0.01,700,4043.345,6481.955,4226.397,0.197,0.086,0.5
"20","Model_abundance_tot_tc_3_lr_0.01_bf_0.5",3,0.01,700,4061.493,6502.658,4226.558,0.182,0.085,0.5
"11","Model_abundance_tot_tc_2_lr_0.01_bf_0.5",2,0.01,700,4164.468,6533.608,4201.938,0.156,0.085,0.5
"5","Model_abundance_tot_tc_1_lr_0.005_bf_0.5",1,0.005,700,5476.226,6545.752,4250.499,0.104,0.086,0.5
"33","Model_abundance_tot_tc_4_lr_0.005_bf_0.75",4,0.005,700,3991.108,6583.419,4260.781,0.213,0.062,0.75
"42","Model_abundance_tot_tc_5_lr_0.005_bf_0.75",5,0.005,700,3970.853,6584.128,4265.262,0.221,0.065,0.75
"24","Model_abundance_tot_tc_3_lr_0.005_bf_0.75",3,0.005,700,4034.705,6590.822,4260.332,0.203,0.055,0.75
"6","Model_abundance_tot_tc_1_lr_0.005_bf_0.75",1,0.005,700,5426.873,6684.718,4338.39,0.054,0.076,0.75
"15","Model_abundance_tot_tc_2_lr_0.005_bf_0.75",2,0.005,700,4073.936,6699.838,4251.315,0.173,0.049,0.75
"2","Model_abundance_tot_tc_1_lr_0.01_bf_0.5",1,0.01,700,5119.408,6756.658,4213.791,0.06,0.079,0.5
"3","Model_abundance_tot_tc_1_lr_0.01_bf_0.75",1,0.01,700,4981.261,6773.123,4307.764,0.047,0.063,0.75
"30","Model_abundance_tot_tc_4_lr_0.01_bf_0.75",4,0.01,700,2904.977,6953.202,4229.747,0.217,0.07,0.75
"21","Model_abundance_tot_tc_3_lr_0.01_bf_0.75",3,0.01,700,2966.318,6960.43,4227.001,0.213,0.063,0.75
"39","Model_abundance_tot_tc_5_lr_0.01_bf_0.75",5,0.01,700,2864.839,6968.237,4238.419,0.222,0.073,0.75
"12","Model_abundance_tot_tc_2_lr_0.01_bf_0.75",2,0.01,700,3201.633,7090.406,4197.478,0.187,0.05,0.75
