"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"9","Model_logabundance_tot_tc_2_lr_0.001_bf_0.5",2,0.001,2350,0.381,0.498,0.103,0.622,0.048,0.5
"10","Model_logabundance_tot_tc_2_lr_0.001_bf_0.75",2,0.001,2125,0.382,0.498,0.105,0.632,0.042,0.75
"14","Model_logabundance_tot_tc_3_lr_0.001_bf_0.5",3,0.001,2125,0.366,0.499,0.101,0.611,0.054,0.5
"19","Model_logabundance_tot_tc_4_lr_0.001_bf_0.5",4,0.001,2125,0.36,0.5,0.1,0.608,0.056,0.5
"24","Model_logabundance_tot_tc_5_lr_0.001_bf_0.5",5,0.001,2125,0.36,0.5,0.1,0.608,0.056,0.5
"15","Model_logabundance_tot_tc_3_lr_0.001_bf_0.75",3,0.001,2050,0.351,0.503,0.1,0.611,0.051,0.75
"20","Model_logabundance_tot_tc_4_lr_0.001_bf_0.75",4,0.001,2000,0.334,0.506,0.098,0.595,0.059,0.75
"25","Model_logabundance_tot_tc_5_lr_0.001_bf_0.75",5,0.001,1875,0.33,0.508,0.097,0.587,0.064,0.75
"5","Model_logabundance_tot_tc_1_lr_0.001_bf_0.75",1,0.001,2900,0.422,0.508,0.115,0.633,0.042,0.75
"4","Model_logabundance_tot_tc_1_lr_0.001_bf_0.5",1,0.001,2850,0.429,0.51,0.114,0.623,0.046,0.5
