"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"21","Model_logabundance_tot_tc_4_lr_0.001_bf_0.75",4,0.001,1850,0.324,0.499,0.095,0.605,0.054,0.75
"26","Model_logabundance_tot_tc_5_lr_0.001_bf_0.75",5,0.001,1725,0.321,0.5,0.094,0.599,0.059,0.75
"16","Model_logabundance_tot_tc_3_lr_0.001_bf_0.75",3,0.001,2075,0.333,0.5,0.097,0.61,0.049,0.75
"15","Model_logabundance_tot_tc_3_lr_0.001_bf_0.5",3,0.001,2125,0.354,0.502,0.099,0.604,0.052,0.5
"20","Model_logabundance_tot_tc_4_lr_0.001_bf_0.5",4,0.001,2125,0.345,0.502,0.099,0.603,0.053,0.5
"25","Model_logabundance_tot_tc_5_lr_0.001_bf_0.5",5,0.001,2125,0.345,0.502,0.099,0.603,0.053,0.5
"10","Model_logabundance_tot_tc_2_lr_0.001_bf_0.5",2,0.001,2125,0.381,0.502,0.103,0.616,0.048,0.5
"11","Model_logabundance_tot_tc_2_lr_0.001_bf_0.75",2,0.001,2125,0.374,0.502,0.103,0.621,0.045,0.75
"6","Model_logabundance_tot_tc_1_lr_0.001_bf_0.75",1,0.001,3025,0.417,0.51,0.113,0.627,0.045,0.75
"5","Model_logabundance_tot_tc_1_lr_0.001_bf_0.5",1,0.001,2850,0.423,0.512,0.113,0.616,0.049,0.5
"3","Model_logabundance_tot_tc_1_lr_0.005_bf_0.5",1,0.005,800,0.4,0.513,0.11,0.598,0.052,0.5
