"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"26","Model_richness_tot_tc_5_lr_0.001_bf_0.75",5,0.001,2175,1.06,1.801,0.405,0.694,0.037,0.75
"21","Model_richness_tot_tc_4_lr_0.001_bf_0.75",4,0.001,2175,1.114,1.809,0.404,0.694,0.037,0.75
"20","Model_richness_tot_tc_4_lr_0.001_bf_0.5",4,0.001,2925,1.116,1.815,0.427,0.686,0.043,0.5
"25","Model_richness_tot_tc_5_lr_0.001_bf_0.5",5,0.001,2925,1.116,1.815,0.427,0.686,0.043,0.5
"15","Model_richness_tot_tc_3_lr_0.001_bf_0.5",3,0.001,2950,1.157,1.823,0.429,0.685,0.043,0.5
"3","Model_richness_tot_tc_1_lr_0.005_bf_0.75",1,0.005,1175,1.282,1.826,0.425,0.683,0.045,0.75
"16","Model_richness_tot_tc_3_lr_0.001_bf_0.75",3,0.001,2675,1.111,1.841,0.395,0.685,0.039,0.75
"6","Model_richness_tot_tc_1_lr_0.001_bf_0.75",1,0.001,4975,1.336,1.846,0.437,0.682,0.047,0.75
"10","Model_richness_tot_tc_2_lr_0.001_bf_0.5",2,0.001,3325,1.239,1.866,0.425,0.679,0.044,0.5
"11","Model_richness_tot_tc_2_lr_0.001_bf_0.75",2,0.001,3275,1.18,1.869,0.4,0.678,0.041,0.75
"5","Model_richness_tot_tc_1_lr_0.001_bf_0.5",1,0.001,4825,1.407,1.905,0.46,0.67,0.051,0.5
