"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"17","Model_log_richness_tc_3_lr_0.001_bf_0.5",3,0.001,2675,0.617,0.89,0.108,0.486,0.089,0.5
"12","Model_log_richness_tc_2_lr_0.001_bf_0.5",2,0.001,3500,0.644,0.891,0.107,0.487,0.088,0.5
"22","Model_log_richness_tc_4_lr_0.001_bf_0.5",4,0.001,2625,0.584,0.896,0.109,0.477,0.091,0.5
"27","Model_log_richness_tc_5_lr_0.001_bf_0.5",5,0.001,2650,0.568,0.897,0.11,0.475,0.092,0.5
"18","Model_log_richness_tc_3_lr_0.001_bf_0.75",3,0.001,2125,0.64,0.908,0.104,0.47,0.091,0.75
"2","Model_log_richness_tc_1_lr_0.01_bf_0.5",1,0.01,1075,0.643,0.909,0.116,0.473,0.096,0.5
"4","Model_log_richness_tc_1_lr_0.005_bf_0.5",1,0.005,2375,0.633,0.909,0.117,0.474,0.097,0.5
"13","Model_log_richness_tc_2_lr_0.001_bf_0.75",2,0.001,2800,0.673,0.915,0.106,0.472,0.086,0.75
"23","Model_log_richness_tc_4_lr_0.001_bf_0.75",4,0.001,2125,0.589,0.917,0.109,0.459,0.096,0.75
"7","Model_log_richness_tc_1_lr_0.001_bf_0.5",1,0.001,9000,0.676,0.918,0.112,0.47,0.098,0.5
"28","Model_log_richness_tc_5_lr_0.001_bf_0.75",5,0.001,1925,0.574,0.929,0.109,0.448,0.097,0.75
"5","Model_log_richness_tc_1_lr_0.005_bf_0.75",1,0.005,2125,0.652,0.951,0.115,0.436,0.106,0.75
"8","Model_log_richness_tc_1_lr_0.001_bf_0.75",1,0.001,8200,0.692,0.955,0.109,0.432,0.106,0.75
