"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"9","Model_richness_tc_2_lr_0.001_bf_0.5",2,0.001,1325,126.876,152.329,30.655,0.4,0.076,0.5
"14","Model_richness_tc_3_lr_0.001_bf_0.5",3,0.001,1275,123.397,152.859,31.159,0.399,0.08,0.5
"19","Model_richness_tc_4_lr_0.001_bf_0.5",4,0.001,1400,119.693,153.258,31.546,0.396,0.082,0.5
"24","Model_richness_tc_5_lr_0.001_bf_0.5",5,0.001,1400,118.807,153.297,31.595,0.396,0.082,0.5
"20","Model_richness_tc_4_lr_0.001_bf_0.75",4,0.001,900,123.41,155.452,31.447,0.379,0.083,0.75
"15","Model_richness_tc_3_lr_0.001_bf_0.75",3,0.001,925,126.577,155.508,31.207,0.378,0.08,0.75
"25","Model_richness_tc_5_lr_0.001_bf_0.75",5,0.001,900,121.667,155.837,31.651,0.374,0.086,0.75
"4","Model_richness_tc_1_lr_0.001_bf_0.5",1,0.001,2100,137.523,156.336,30.231,0.374,0.062,0.5
"10","Model_richness_tc_2_lr_0.001_bf_0.75",2,0.001,925,134.21,156.808,31.068,0.37,0.077,0.75
"5","Model_richness_tc_1_lr_0.001_bf_0.75",1,0.001,1925,137.718,157.669,30.245,0.368,0.067,0.75
