"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"38","Model_AcousticFond_tc_5_lr_0.01_bf_0.5",5,0.01,1275,123.401,149.539,7.501,0.516,0.023,0.5
"39","Model_AcousticFond_tc_5_lr_0.01_bf_0.75",5,0.01,1525,119.143,149.558,7.658,0.516,0.024,0.75
"33","Model_AcousticFond_tc_4_lr_0.005_bf_0.75",4,0.005,3175,123.947,149.641,7.687,0.515,0.024,0.75
"42","Model_AcousticFond_tc_5_lr_0.005_bf_0.75",5,0.005,2525,122.727,149.656,7.732,0.515,0.024,0.75
"29","Model_AcousticFond_tc_4_lr_0.01_bf_0.5",4,0.01,1950,122.113,149.662,7.43,0.516,0.023,0.5
"21","Model_AcousticFond_tc_3_lr_0.01_bf_0.75",3,0.01,2300,125.011,149.668,7.727,0.515,0.024,0.75
"41","Model_AcousticFond_tc_5_lr_0.005_bf_0.5",5,0.005,2400,124.594,149.674,7.497,0.515,0.023,0.5
"30","Model_AcousticFond_tc_4_lr_0.01_bf_0.75",4,0.01,1700,122.645,149.688,7.665,0.515,0.024,0.75
"32","Model_AcousticFond_tc_4_lr_0.005_bf_0.5",4,0.005,2925,126.36,149.892,7.53,0.514,0.023,0.5
"20","Model_AcousticFond_tc_3_lr_0.01_bf_0.5",3,0.01,2075,127.367,150.093,7.528,0.513,0.024,0.5
"23","Model_AcousticFond_tc_3_lr_0.005_bf_0.5",3,0.005,3625,129.189,150.162,7.558,0.512,0.023,0.5
"12","Model_AcousticFond_tc_2_lr_0.01_bf_0.75",2,0.01,3300,130.896,150.184,7.793,0.512,0.024,0.75
"24","Model_AcousticFond_tc_3_lr_0.005_bf_0.75",3,0.005,3525,129.42,150.237,7.633,0.512,0.024,0.75
"11","Model_AcousticFond_tc_2_lr_0.01_bf_0.5",2,0.01,3200,131.349,150.787,7.619,0.509,0.023,0.5
"15","Model_AcousticFond_tc_2_lr_0.005_bf_0.75",2,0.005,4950,134.897,151.192,7.856,0.507,0.024,0.75
"44","Model_AcousticFond_tc_5_lr_0.001_bf_0.5",5,0.001,6400,134.101,151.476,7.487,0.506,0.023,0.5
"45","Model_AcousticFond_tc_5_lr_0.001_bf_0.75",5,0.001,6500,134.097,151.75,7.72,0.505,0.024,0.75
"36","Model_AcousticFond_tc_4_lr_0.001_bf_0.75",4,0.001,7500,136.093,152.225,7.689,0.503,0.024,0.75
"14","Model_AcousticFond_tc_2_lr_0.005_bf_0.5",2,0.005,3950,136.984,152.334,7.537,0.501,0.023,0.5
"35","Model_AcousticFond_tc_4_lr_0.001_bf_0.5",4,0.001,6900,137.003,152.402,7.458,0.502,0.023,0.5
"26","Model_AcousticFond_tc_3_lr_0.001_bf_0.5",3,0.001,8025,140.23,153.532,7.444,0.496,0.023,0.5
"27","Model_AcousticFond_tc_3_lr_0.001_bf_0.75",3,0.001,8250,140.54,153.644,7.641,0.496,0.024,0.75
"17","Model_AcousticFond_tc_2_lr_0.001_bf_0.5",2,0.001,8875,146.641,156.89,7.378,0.479,0.023,0.5
"18","Model_AcousticFond_tc_2_lr_0.001_bf_0.75",2,0.001,8850,147.423,157.09,7.719,0.479,0.024,0.75
"3","Model_AcousticFond_tc_1_lr_0.01_bf_0.75",1,0.01,5075,147.81,158.333,7.579,0.47,0.024,0.75
"2","Model_AcousticFond_tc_1_lr_0.01_bf_0.5",1,0.01,4300,148.162,158.995,7.492,0.466,0.023,0.5
"5","Model_AcousticFond_tc_1_lr_0.005_bf_0.5",1,0.005,6225,150.929,160.572,7.332,0.458,0.023,0.5
"6","Model_AcousticFond_tc_1_lr_0.005_bf_0.75",1,0.005,6275,151.728,160.817,7.461,0.457,0.024,0.75
"8","Model_AcousticFond_tc_1_lr_0.001_bf_0.5",1,0.001,10000,161.536,168.191,7.762,0.417,0.025,0.5
"9","Model_AcousticFond_tc_1_lr_0.001_bf_0.75",1,0.001,10000,162.488,168.959,7.878,0.415,0.026,0.75
