"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"39","Model_logAcousticFond_tc_5_lr_0.01_bf_0.75",5,0.01,3475,0.552,0.774,0.011,0.596,0.012,0.75
"38","Model_logAcousticFond_tc_5_lr_0.01_bf_0.5",5,0.01,3575,0.567,0.775,0.01,0.595,0.012,0.5
"42","Model_logAcousticFond_tc_5_lr_0.005_bf_0.75",5,0.005,4950,0.601,0.78,0.01,0.592,0.011,0.75
"29","Model_logAcousticFond_tc_4_lr_0.01_bf_0.5",4,0.01,3950,0.595,0.781,0.01,0.591,0.011,0.5
"30","Model_logAcousticFond_tc_4_lr_0.01_bf_0.75",4,0.01,3625,0.59,0.782,0.01,0.59,0.011,0.75
"41","Model_logAcousticFond_tc_5_lr_0.005_bf_0.5",5,0.005,4875,0.617,0.784,0.01,0.589,0.011,0.5
"33","Model_logAcousticFond_tc_4_lr_0.005_bf_0.75",4,0.005,5900,0.617,0.785,0.01,0.589,0.011,0.75
"20","Model_logAcousticFond_tc_3_lr_0.01_bf_0.5",3,0.01,4750,0.624,0.789,0.009,0.585,0.011,0.5
"21","Model_logAcousticFond_tc_3_lr_0.01_bf_0.75",3,0.01,4525,0.616,0.789,0.01,0.586,0.011,0.75
"32","Model_logAcousticFond_tc_4_lr_0.005_bf_0.5",4,0.005,5800,0.632,0.789,0.01,0.586,0.011,0.5
"24","Model_logAcousticFond_tc_3_lr_0.005_bf_0.75",3,0.005,6725,0.654,0.795,0.009,0.582,0.01,0.75
"23","Model_logAcousticFond_tc_3_lr_0.005_bf_0.5",3,0.005,6375,0.668,0.8,0.009,0.579,0.01,0.5
"11","Model_logAcousticFond_tc_2_lr_0.01_bf_0.5",2,0.01,6125,0.67,0.803,0.009,0.576,0.011,0.5
"12","Model_logAcousticFond_tc_2_lr_0.01_bf_0.75",2,0.01,5525,0.675,0.806,0.009,0.574,0.011,0.75
"14","Model_logAcousticFond_tc_2_lr_0.005_bf_0.5",2,0.005,7900,0.715,0.815,0.009,0.568,0.01,0.5
"44","Model_logAcousticFond_tc_5_lr_0.001_bf_0.5",5,0.001,10000,0.723,0.816,0.01,0.569,0.01,0.5
"15","Model_logAcousticFond_tc_2_lr_0.005_bf_0.75",2,0.005,7450,0.718,0.817,0.009,0.566,0.01,0.75
"45","Model_logAcousticFond_tc_5_lr_0.001_bf_0.75",5,0.001,10000,0.722,0.817,0.01,0.569,0.01,0.75
"35","Model_logAcousticFond_tc_4_lr_0.001_bf_0.5",4,0.001,10000,0.755,0.832,0.011,0.559,0.01,0.5
"36","Model_logAcousticFond_tc_4_lr_0.001_bf_0.75",4,0.001,10000,0.755,0.833,0.011,0.558,0.01,0.75
"26","Model_logAcousticFond_tc_3_lr_0.001_bf_0.5",3,0.001,10000,0.794,0.853,0.012,0.544,0.01,0.5
"27","Model_logAcousticFond_tc_3_lr_0.001_bf_0.75",3,0.001,10000,0.795,0.854,0.011,0.543,0.009,0.75
"2","Model_logAcousticFond_tc_1_lr_0.01_bf_0.5",1,0.01,6800,0.809,0.872,0.011,0.526,0.01,0.5
"3","Model_logAcousticFond_tc_1_lr_0.01_bf_0.75",1,0.01,6025,0.825,0.882,0.011,0.517,0.009,0.75
"17","Model_logAcousticFond_tc_2_lr_0.001_bf_0.5",2,0.001,10000,0.842,0.884,0.013,0.521,0.01,0.5
"18","Model_logAcousticFond_tc_2_lr_0.001_bf_0.75",2,0.001,10000,0.844,0.885,0.013,0.52,0.01,0.75
"5","Model_logAcousticFond_tc_1_lr_0.005_bf_0.5",1,0.005,7975,0.843,0.891,0.012,0.511,0.01,0.5
"6","Model_logAcousticFond_tc_1_lr_0.005_bf_0.75",1,0.005,7275,0.855,0.899,0.011,0.505,0.01,0.75
"8","Model_logAcousticFond_tc_1_lr_0.001_bf_0.5",1,0.001,10000,0.929,0.954,0.016,0.464,0.013,0.5
"9","Model_logAcousticFond_tc_1_lr_0.001_bf_0.75",1,0.001,10000,0.933,0.958,0.016,0.461,0.013,0.75
