"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"42","Model_AcousticFond_tc_5_lr_0.005_bf_0.75",5,0.005,2625,114.079,148.154,7.617,0.521,0.025,0.75
"39","Model_AcousticFond_tc_5_lr_0.01_bf_0.75",5,0.01,1450,111.831,148.329,7.62,0.521,0.024,0.75
"38","Model_AcousticFond_tc_5_lr_0.01_bf_0.5",5,0.01,1275,116.393,148.537,7.544,0.519,0.024,0.5
"41","Model_AcousticFond_tc_5_lr_0.005_bf_0.5",5,0.005,2400,117.367,148.638,7.552,0.519,0.024,0.5
"30","Model_AcousticFond_tc_4_lr_0.01_bf_0.75",4,0.01,1675,115.132,148.785,7.496,0.518,0.024,0.75
"33","Model_AcousticFond_tc_4_lr_0.005_bf_0.75",4,0.005,3050,116.902,148.861,7.564,0.518,0.025,0.75
"32","Model_AcousticFond_tc_4_lr_0.005_bf_0.5",4,0.005,2975,118.49,148.927,7.385,0.517,0.024,0.5
"21","Model_AcousticFond_tc_3_lr_0.01_bf_0.75",3,0.01,2375,116.364,149.131,7.478,0.517,0.024,0.75
"29","Model_AcousticFond_tc_4_lr_0.01_bf_0.5",4,0.01,1275,121.494,149.232,7.461,0.516,0.023,0.5
"20","Model_AcousticFond_tc_3_lr_0.01_bf_0.5",3,0.01,2100,119.687,149.518,7.388,0.515,0.024,0.5
"23","Model_AcousticFond_tc_3_lr_0.005_bf_0.5",3,0.005,3500,122.784,149.594,7.364,0.514,0.024,0.5
"24","Model_AcousticFond_tc_3_lr_0.005_bf_0.75",3,0.005,3500,122.122,149.629,7.504,0.514,0.024,0.75
"45","Model_AcousticFond_tc_5_lr_0.001_bf_0.75",5,0.001,6950,126.839,150.151,7.665,0.513,0.025,0.75
"11","Model_AcousticFond_tc_2_lr_0.01_bf_0.5",2,0.01,2975,124.98,150.509,7.311,0.51,0.023,0.5
"44","Model_AcousticFond_tc_5_lr_0.001_bf_0.5",5,0.001,6500,128.39,150.615,7.454,0.51,0.024,0.5
"12","Model_AcousticFond_tc_2_lr_0.01_bf_0.75",2,0.01,2850,125.325,150.624,7.51,0.509,0.024,0.75
"14","Model_AcousticFond_tc_2_lr_0.005_bf_0.5",2,0.005,4225,130.08,151.419,7.169,0.505,0.023,0.5
"36","Model_AcousticFond_tc_4_lr_0.001_bf_0.75",4,0.001,7200,131.34,151.458,7.572,0.507,0.025,0.75
"35","Model_AcousticFond_tc_4_lr_0.001_bf_0.5",4,0.001,6975,131.775,151.576,7.371,0.505,0.024,0.5
"15","Model_AcousticFond_tc_2_lr_0.005_bf_0.75",2,0.005,4175,130.549,151.676,7.437,0.504,0.024,0.75
"26","Model_AcousticFond_tc_3_lr_0.001_bf_0.5",3,0.001,8150,135.308,152.847,7.291,0.499,0.024,0.5
"27","Model_AcousticFond_tc_3_lr_0.001_bf_0.75",3,0.001,7900,136.507,153.181,7.467,0.499,0.025,0.75
"2","Model_AcousticFond_tc_1_lr_0.01_bf_0.5",1,0.01,5050,140.928,156.156,7.078,0.48,0.022,0.5
"3","Model_AcousticFond_tc_1_lr_0.01_bf_0.75",1,0.01,5400,141.803,156.253,7.116,0.48,0.023,0.75
"17","Model_AcousticFond_tc_2_lr_0.001_bf_0.5",2,0.001,8825,143.163,156.485,7.144,0.482,0.024,0.5
"18","Model_AcousticFond_tc_2_lr_0.001_bf_0.75",2,0.001,8975,143.818,156.574,7.404,0.482,0.025,0.75
"6","Model_AcousticFond_tc_1_lr_0.005_bf_0.75",1,0.005,7525,145.791,158.167,7.126,0.47,0.023,0.75
"5","Model_AcousticFond_tc_1_lr_0.005_bf_0.5",1,0.005,6900,145.28,158.307,6.979,0.469,0.022,0.5
"8","Model_AcousticFond_tc_1_lr_0.001_bf_0.5",1,0.001,8525,161.346,168.731,7.691,0.415,0.026,0.5
"9","Model_AcousticFond_tc_1_lr_0.001_bf_0.75",1,0.001,8600,162.195,169.07,7.732,0.414,0.026,0.75
