"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"39","Model_acoustic_tc_5_lr_0.01_bf_0.75",5,0.01,1775,26.941,27.472,0.484,0.388,0.004,0.75
"30","Model_acoustic_tc_4_lr_0.01_bf_0.75",4,0.01,2050,27.017,27.511,0.481,0.386,0.005,0.75
"42","Model_acoustic_tc_5_lr_0.005_bf_0.75",5,0.005,2550,27.1,27.551,0.48,0.385,0.005,0.75
"38","Model_acoustic_tc_5_lr_0.01_bf_0.5",5,0.01,1600,27.045,27.574,0.479,0.384,0.005,0.5
"21","Model_acoustic_tc_3_lr_0.01_bf_0.75",3,0.01,2350,27.165,27.589,0.475,0.383,0.005,0.75
"33","Model_acoustic_tc_4_lr_0.005_bf_0.75",4,0.005,2725,27.223,27.616,0.477,0.382,0.005,0.75
"29","Model_acoustic_tc_4_lr_0.01_bf_0.5",4,0.01,1775,27.153,27.617,0.477,0.382,0.004,0.5
"41","Model_acoustic_tc_5_lr_0.005_bf_0.5",5,0.005,2275,27.197,27.625,0.478,0.382,0.005,0.5
"20","Model_acoustic_tc_3_lr_0.01_bf_0.5",3,0.01,2125,27.272,27.678,0.473,0.38,0.004,0.5
"32","Model_acoustic_tc_4_lr_0.005_bf_0.5",4,0.005,2500,27.304,27.688,0.475,0.379,0.005,0.5
"24","Model_acoustic_tc_3_lr_0.005_bf_0.75",3,0.005,3175,27.386,27.721,0.475,0.378,0.005,0.75
"12","Model_acoustic_tc_2_lr_0.01_bf_0.75",2,0.01,3025,27.414,27.751,0.474,0.377,0.005,0.75
"23","Model_acoustic_tc_3_lr_0.005_bf_0.5",3,0.005,2825,27.449,27.787,0.472,0.376,0.005,0.5
"11","Model_acoustic_tc_2_lr_0.01_bf_0.5",2,0.01,2625,27.5,27.82,0.471,0.374,0.005,0.5
"15","Model_acoustic_tc_2_lr_0.005_bf_0.75",2,0.005,3500,27.707,27.963,0.476,0.369,0.005,0.75
"44","Model_acoustic_tc_5_lr_0.001_bf_0.5",5,0.001,4450,27.721,27.991,0.478,0.369,0.005,0.5
"45","Model_acoustic_tc_5_lr_0.001_bf_0.75",5,0.001,4475,27.743,28.003,0.482,0.368,0.005,0.75
"14","Model_acoustic_tc_2_lr_0.005_bf_0.5",2,0.005,3250,27.74,28.008,0.474,0.367,0.005,0.5
"35","Model_acoustic_tc_4_lr_0.001_bf_0.5",4,0.001,4800,27.855,28.094,0.479,0.365,0.006,0.5
"36","Model_acoustic_tc_4_lr_0.001_bf_0.75",4,0.001,4825,27.876,28.105,0.485,0.365,0.006,0.75
"26","Model_acoustic_tc_3_lr_0.001_bf_0.5",3,0.001,5000,28.099,28.302,0.483,0.356,0.006,0.5
"27","Model_acoustic_tc_3_lr_0.001_bf_0.75",3,0.001,5050,28.123,28.315,0.489,0.356,0.006,0.75
"17","Model_acoustic_tc_2_lr_0.001_bf_0.5",2,0.001,5250,28.447,28.601,0.494,0.345,0.007,0.5
"18","Model_acoustic_tc_2_lr_0.001_bf_0.75",2,0.001,5250,28.462,28.611,0.501,0.345,0.007,0.75
"2","Model_acoustic_tc_1_lr_0.01_bf_0.5",1,0.01,2225,28.64,28.79,0.51,0.333,0.006,0.5
"3","Model_acoustic_tc_1_lr_0.01_bf_0.75",1,0.01,2225,28.65,28.803,0.507,0.332,0.006,0.75
"5","Model_acoustic_tc_1_lr_0.005_bf_0.5",1,0.005,2575,28.812,28.94,0.509,0.326,0.006,0.5
"6","Model_acoustic_tc_1_lr_0.005_bf_0.75",1,0.005,2575,28.83,28.954,0.512,0.326,0.006,0.75
"8","Model_acoustic_tc_1_lr_0.001_bf_0.5",1,0.001,5075,29.279,29.356,0.525,0.313,0.007,0.5
"9","Model_acoustic_tc_1_lr_0.001_bf_0.75",1,0.001,5025,29.32,29.395,0.527,0.312,0.007,0.75
