"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"3","Model_log_richness_tc_1_lr_0.01_bf_0.75",1,0.01,1100,0.329,0.542,0.111,0.568,0.099,0.75
"6","Model_log_richness_tc_1_lr_0.005_bf_0.75",1,0.005,2175,0.329,0.544,0.112,0.568,0.099,0.75
"9","Model_log_richness_tc_1_lr_0.001_bf_0.75",1,0.001,8950,0.344,0.546,0.108,0.562,0.1,0.75
"13","Model_log_richness_tc_2_lr_0.005_bf_0.75",2,0.005,1125,0.297,0.547,0.11,0.583,0.097,0.75
"2","Model_log_richness_tc_1_lr_0.01_bf_0.5",1,0.01,1175,0.328,0.551,0.11,0.551,0.104,0.5
"12","Model_log_richness_tc_2_lr_0.005_bf_0.5",2,0.005,1550,0.295,0.553,0.111,0.565,0.105,0.5
"19","Model_log_richness_tc_3_lr_0.005_bf_0.5",3,0.005,1550,0.294,0.553,0.111,0.565,0.105,0.5
"26","Model_log_richness_tc_4_lr_0.005_bf_0.5",4,0.005,1550,0.294,0.553,0.111,0.565,0.105,0.5
"32","Model_log_richness_tc_5_lr_0.005_bf_0.5",5,0.005,1550,0.294,0.553,0.111,0.565,0.105,0.5
"5","Model_log_richness_tc_1_lr_0.005_bf_0.5",1,0.005,2200,0.331,0.554,0.111,0.553,0.102,0.5
"16","Model_log_richness_tc_2_lr_0.001_bf_0.75",2,0.001,5000,0.306,0.555,0.109,0.573,0.098,0.75
"15","Model_log_richness_tc_2_lr_0.001_bf_0.5",2,0.001,6600,0.308,0.557,0.109,0.553,0.107,0.5
"22","Model_log_richness_tc_3_lr_0.001_bf_0.5",3,0.001,6600,0.306,0.557,0.109,0.553,0.107,0.5
"28","Model_log_richness_tc_4_lr_0.001_bf_0.5",4,0.001,6600,0.306,0.557,0.109,0.553,0.107,0.5
"34","Model_log_richness_tc_5_lr_0.001_bf_0.5",5,0.001,6600,0.306,0.557,0.109,0.553,0.107,0.5
"20","Model_log_richness_tc_3_lr_0.005_bf_0.75",3,0.005,825,0.291,0.56,0.11,0.575,0.1,0.75
"8","Model_log_richness_tc_1_lr_0.001_bf_0.5",1,0.001,8450,0.35,0.564,0.104,0.528,0.111,0.5
"23","Model_log_richness_tc_3_lr_0.001_bf_0.75",3,0.001,3950,0.295,0.564,0.11,0.57,0.1,0.75
"29","Model_log_richness_tc_4_lr_0.001_bf_0.75",4,0.001,3950,0.284,0.565,0.11,0.571,0.1,0.75
"35","Model_log_richness_tc_5_lr_0.001_bf_0.75",5,0.001,3950,0.284,0.565,0.11,0.571,0.1,0.75
