"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"14","Model_log_richness_tc_2_lr_0.005_bf_0.75",2,0.005,1525,0.292,0.562,0.118,0.587,0.09,0.75
"6","Model_log_richness_tc_1_lr_0.005_bf_0.75",1,0.005,4225,0.308,0.569,0.118,0.579,0.088,0.75
"3","Model_log_richness_tc_1_lr_0.01_bf_0.75",1,0.01,1900,0.314,0.571,0.116,0.571,0.089,0.75
"11","Model_log_richness_tc_2_lr_0.01_bf_0.5",2,0.01,1175,0.287,0.571,0.12,0.553,0.107,0.5
"19","Model_log_richness_tc_3_lr_0.01_bf_0.5",3,0.01,1175,0.286,0.571,0.12,0.553,0.107,0.5
"27","Model_log_richness_tc_4_lr_0.01_bf_0.5",4,0.01,1175,0.286,0.571,0.12,0.553,0.107,0.5
"35","Model_log_richness_tc_5_lr_0.01_bf_0.5",5,0.01,1175,0.286,0.571,0.12,0.553,0.107,0.5
"17","Model_log_richness_tc_2_lr_0.001_bf_0.75",2,0.001,6150,0.311,0.575,0.118,0.571,0.09,0.75
"30","Model_log_richness_tc_4_lr_0.005_bf_0.75",4,0.005,950,0.282,0.575,0.118,0.568,0.093,0.75
"38","Model_log_richness_tc_5_lr_0.005_bf_0.75",5,0.005,950,0.282,0.575,0.118,0.568,0.093,0.75
"22","Model_log_richness_tc_3_lr_0.005_bf_0.75",3,0.005,1175,0.273,0.575,0.121,0.577,0.093,0.75
"13","Model_log_richness_tc_2_lr_0.005_bf_0.5",2,0.005,2050,0.294,0.578,0.122,0.547,0.104,0.5
"21","Model_log_richness_tc_3_lr_0.005_bf_0.5",3,0.005,2050,0.293,0.578,0.122,0.547,0.104,0.5
"29","Model_log_richness_tc_4_lr_0.005_bf_0.5",4,0.005,2050,0.293,0.578,0.122,0.547,0.104,0.5
"37","Model_log_richness_tc_5_lr_0.005_bf_0.5",5,0.005,2050,0.293,0.578,0.122,0.547,0.104,0.5
"33","Model_log_richness_tc_4_lr_0.001_bf_0.75",4,0.001,4125,0.298,0.579,0.117,0.561,0.093,0.75
"41","Model_log_richness_tc_5_lr_0.001_bf_0.75",5,0.001,4125,0.298,0.579,0.117,0.561,0.093,0.75
"25","Model_log_richness_tc_3_lr_0.001_bf_0.75",3,0.001,4425,0.302,0.579,0.118,0.563,0.093,0.75
"5","Model_log_richness_tc_1_lr_0.005_bf_0.5",1,0.005,3925,0.324,0.585,0.119,0.52,0.102,0.5
"2","Model_log_richness_tc_1_lr_0.01_bf_0.5",1,0.01,2200,0.316,0.585,0.12,0.529,0.102,0.5
"16","Model_log_richness_tc_2_lr_0.001_bf_0.5",2,0.001,7775,0.315,0.586,0.118,0.526,0.11,0.5
"24","Model_log_richness_tc_3_lr_0.001_bf_0.5",3,0.001,7775,0.313,0.586,0.118,0.526,0.11,0.5
"32","Model_log_richness_tc_4_lr_0.001_bf_0.5",4,0.001,7775,0.313,0.586,0.118,0.526,0.11,0.5
"40","Model_log_richness_tc_5_lr_0.001_bf_0.5",5,0.001,7775,0.313,0.586,0.118,0.526,0.11,0.5
"9","Model_log_richness_tc_1_lr_0.001_bf_0.75",1,0.001,10000,0.369,0.597,0.112,0.536,0.088,0.75
"8","Model_log_richness_tc_1_lr_0.001_bf_0.5",1,0.001,10000,0.382,0.622,0.114,0.471,0.113,0.5
