"","df.model","df.TC","df.LR","df.n.trees","df.dev","df.cv.dev","df.cv.se","df.corr","df.corr.se","df.bag.fract"
"4","Model_richness_tc_1_lr_0.001_bf_0.5",1,0.001,2150,33.555,41.372,9.839,0.271,0.083,0.5
"9","Model_richness_tc_2_lr_0.001_bf_0.5",2,0.001,2000,32.227,41.636,9.756,0.259,0.085,0.5
"14","Model_richness_tc_3_lr_0.001_bf_0.5",3,0.001,2000,32.227,41.636,9.756,0.259,0.085,0.5
"19","Model_richness_tc_4_lr_0.001_bf_0.5",4,0.001,2000,32.227,41.636,9.756,0.259,0.085,0.5
"24","Model_richness_tc_5_lr_0.001_bf_0.5",5,0.001,2000,32.227,41.636,9.756,0.259,0.085,0.5
"5","Model_richness_tc_1_lr_0.001_bf_0.75",1,0.001,2950,32.22,41.783,9.753,0.269,0.068,0.75
"10","Model_richness_tc_2_lr_0.001_bf_0.75",2,0.001,1800,31.058,42.225,9.439,0.235,0.074,0.75
"15","Model_richness_tc_3_lr_0.001_bf_0.75",3,0.001,1575,30.803,42.398,9.415,0.221,0.081,0.75
"20","Model_richness_tc_4_lr_0.001_bf_0.75",4,0.001,1575,30.69,42.398,9.415,0.221,0.081,0.75
"25","Model_richness_tc_5_lr_0.001_bf_0.75",5,0.001,1575,30.69,42.398,9.415,0.221,0.081,0.75
